City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
323,Jacareacanga,BR,88.29,moderate rain,-6.22,-57.75,Casa do Ian😎
324,Ambon,ID,81.45,light rain,-3.7,128.18,Swiss-Belhotel Ambon
335,Faya,SA,66.2,light rain,18.39,42.45,مقبرة ال مجمل
341,Kondol,RU,51.01,light rain,52.82,45.06,
362,Yomou,GN,74.75,moderate rain,7.56,-9.27,
373,Curup,ID,69.4,moderate rain,-3.47,102.53,Rumah michiels
384,Mattru,SL,81.7,light rain,7.62,-11.83,Boima Gbondo's Compound
387,Otuzco,PE,75.2,light rain,-7.9,-78.58,HOTEL DE TURISTAS MENG
394,Lorengau,PG,81.54,light rain,-2.02,147.27,Lorengau Harbourside Hotel
396,Nikki,BJ,86.79,light rain,9.94,3.21,Hotel John
399,Conselheiro Pena,BR,75.52,light rain,-19.17,-41.47,Hotel Bela Adormecida
411,Lamu,KE,82.24,light rain,-2.27,40.9,Lamu House
416,Sao Gabriel Da Cachoeira,BR,88.99,light rain,-0.13,-67.09,Alarne - Área De Lazer Do Alto Rio Negro
417,Pauini,BR,82.2,moderate rain,-7.71,-66.98,Casa do Kiwliks
418,Miram Shah,PK,60.39,light rain,33.01,70.07,Bachelor Hostel
445,Puerto Leguizamo,CO,87.66,light rain,-0.19,-74.78,la casona de juancho
447,Potosi,BO,45.79,moderate rain,-19.58,-65.75,Hostal La Casona Potosí
459,Pontianak,ID,78.15,light rain,-0.03,109.33,Aston Pontianak Hotel & Convention Center
475,Trairi,BR,80.65,light rain,-3.28,-39.27,Pousada Field Lilies - Trairi
479,Ciparay,ID,76.68,light rain,-7.42,108.47,Bumi Perkemahan Singugu Park
485,Sao Raimundo Nonato,BR,79.02,light rain,-9.02,-42.7,Real Hotel
512,Ibia,BR,71.87,light rain,-19.48,-46.54,Hotel Triângulo
520,Soyo,AO,82.11,light rain,-6.13,12.37,Hotel Mpampa
521,Pandan,PH,79.99,light rain,14.05,124.17,Bonifacio Lodge
526,Brae,GB,44.6,light rain,60.4,-1.35,Busta House Hotel
528,Xacmaz,AZ,47.07,light rain,41.46,48.81,SAHİL HOTEL
536,Lubango,AO,60.39,light rain,-14.92,13.49,Hotel Serra da Chela
537,Chupaca,PE,62.37,light rain,-12.07,-75.28,HOSTAL CIELO - CHUPACA
542,Takoradi,GH,81.46,light rain,4.88,-1.76,Raybow International Hotel
